"SARG number","meters north","meters east","start date","end date","median date","type","size","description","room count","elevation","baseline households","x","y"
2337,5599,3706,850,1150,1100,2,110,4,2,1951,1,38,57
2338,5637,3693,600,850,800,1,90,3,4,1949,4,37,57
2339,5669,3716,1050,1150,1100,2,20,4,2,1949,1,38,58
2340,5859,3707,1200,1250,1225,2,170,4,1,1949,1,38,60
2341,6003,3671,1000,1100,1025,2,305,5,0,1948,1,37,61
2342,6036,3707,850,1000,900,2,2,8,0,1954,0,38,62
2343,6385,3700,850,1000,900,1,300,3,3,1966,3,37,65
2344,6283,3532,1200,1300,1270,1,970,1,16,1948,4,36,64
2345,6354,3639,1250,1300,1270,1,100,1,5,1960,1,37,65
2346,6652,3606,1050,1150,1075,1,400,1,6,1932,2,36,68
2347,6599,3722,1100,1150,1125,2,50,4,1,1942,1,38,68
2348,6660,3654,1050,1200,1100,1,125,1,-1,1935,1,37,68
2349,7350,3933,850,1000,950,2,50,5,0,1923,1,40,76
2350,7350,3933,1100,1150,1125,2,50,4,1,1923,1,40,76
2351,7605,4140,1000,1200,1100,1,250,1,11,1925,3,42,78
2352,7248,4035,850,1000,900,1,200,3,2,1929,2,41,75
2353,7248,4035,1050,1150,1100,2,-1,6,0,1929,1,41,75
2354,7402,4160,1050,1150,1075,1,150,1,5,1929,1,42,76
2355,7259,4143,850,1050,950,2,10,4,0,1935,1,42,75
2356,7567,4265,850,1000,900,1,175,3,1,1952,1,44,78
2357,7522,4294,850,1000,900,1,150,3,2,1958,2,44,77
2358,7689,4232,1050,1150,1075,2,80,4,1,1925,1,43,79
2359,6791,4066,1050,1200,1150,1,200,1,4,2039,1,41,70
2361,7762,4506,1050,1150,1075,1,700,1,5,1925,1,46,80
2362,7797,4533,1050,1150,1100,1,30,1,2,1925,1,46,80
2363,7850,4568,1000,1050,1025,1,100,3,1,1925,1,47,81
2364,8020,4617,1200,1250,1225,2,15,4,2,1922,1,47,83
2365,7943,4663,1050,1150,1075,1,400,1,6,1925,2,48,82
2366,8166,4783,850,1000,900,2,110,6,0,1917,1,49,84
2367,8321,4968,900,1100,1000,2,50,4,1,1917,1,51,86
2368,8632,4989,1200,1250,1225,2,80,4,2,1914,1,51,89
2369,8745,5236,850,1200,1100,1,-1,4,5,1914,1,54,91
2370,8578,5323,850,1000,900,1,500,3,4,1920,4,55,89
2371,9059,5576,1200,1275,1225,2,50,4,1,1911,1,58,94
2372,8801,5407,1050,1200,1150,1,25,1,5,1913,1,56,91
2373,9086,5634,1050,1150,1100,1,750,1,5,1908,1,58,94
2376,9515,6061,1050,1150,1125,1,50,1,2,1902,1,63,99
