"year","general","north","mid","natural","upland","kinbiko"
1219,4,4,4,2,2,4
1220,4,4,4,2,2,4
1221,4,4,4,2,2,4
1222,4,4,4,2,2,4
1223,4,4,4,2,2,4
1224,4,4,4,2,2,4
1225,4,4,4,2,2,4
1226,4,4,4,2,2,4
1227,4,4,4,2,2,4
1228,4,4,4,2,2,4
1229,4,4,4,2,2,4
1230,4,4,4,2,2,4
1231,4,4,4,2,2,4
1232,4,4,4,2,2,4
1233,4,4,4,2,2,4
1234,4,4,4,2,2,4
1235,4,4,4,2,2,4
1236,4,4,4,2,2,4
1237,4,4,4,2,2,4
1238,4,4,4,2,2,4
1239,4,4,4,2,2,4
1240,4,4,4,2,2,4
1241,4,4,4,2,2,4
1242,4,4,4,2,2,4
1243,4,4,4,2,2,4
1244,4,4,4,2,2,4
1245,4,4,4,2,2,4
1246,4,4,4,2,2,4
1247,4,4,4,2,2,4
1248,4,4,4,2,2,4
1249,4,4,4,2,2,4
1250,4,4,4,2,2,4
1251,4,4,4,2,2,4
1252,4,4,4,2,2,4
1253,4,4,4,2,2,4
1254,4,4,4,2,2,4
1255,4,4,4,2,2,4
1256,4,4,4,2,2,4
1257,4,4,4,2,2,4
1258,4,4,4,2,2,4
1259,4,2,4,2,2,2
1260,4,2,4,2,2,2
1261,4,2,4,2,2,2
1262,4,2,4,2,2,2
1263,4,2,4,2,2,2
1264,4,2,4,2,2,2
1265,0.49400002,2,4,0.49400002,0.49400002,2
1266,-2.043,2,4,-2.043,-2.043,2
1267,1.416,2,4,1.416,1.416,2
1268,0.344,2,4,0.344,0.344,2
1269,0.372,2,2,0.372,0.372,2
1270,-0.33900002,2,2,-0.33900002,-0.33900002,2
1271,1.876,2,2,1.876,1.876,2
1272,0.638,2,2,0.638,0.638,2
1273,-0.91099995,2,2,-0.91099995,-0.91099995,2
1274,-1.516,2,2,-1.516,-1.516,2
1275,1.999,2,2,1.999,1.999,2
1276,-4.308,2,2,-4.308,-4.308,2
1277,-1.643,2,2,-1.643,-1.643,2
1278,-3.62,2,2,-3.62,-3.62,2
1279,1.194,2,2,1.194,1.194,2
1280,-3.592,2,2,-3.592,-3.592,2
1281,-2.365,2,2,-2.365,-2.365,2
1282,-2.082,2,2,-2.082,-2.082,2
1283,-1.8149999,2,2,-1.8149999,-1.8149999,2
1284,2.049,2,2,2.049,2.049,2
1285,-1.027,2,2,-1.027,-1.027,2
1286,0.028,2,2,0.028,0.028,2
1287,-2.093,2,2,-2.093,-2.093,2
1288,-3.525,2,2,-3.525,-3.525,2
1289,-1.8429999,2,2,-1.8429999,-1.8429999,2
1290,1.132,2,2,1.132,1.132,2
1291,-0.805,2,2,-0.805,-0.805,2
1292,-1.038,2,2,-1.038,-1.038,2
1293,-1.2880001,2,2,-1.2880001,-1.2880001,2
1294,0.117,2,2,0.117,0.117,2
1295,-0.761,2,2,-0.761,-0.761,2
1296,0.36600003,2,2,0.36600003,0.36600003,2
1297,-2.793,2,2,-2.793,-2.793,2
1298,3.386,2,2,3.386,3.386,2
1299,-4.63,2,2,-4.63,-4.63,2
1300,0.139,2,2,0.139,0.139,2
1301,-0.1,2,2,-0.1,-0.1,2
1302,0.155,2,2,0.155,0.155,2
1303,2.182,2,0,2.182,2.182,2
1304,2.5479999,2,0,2.5479999,2.5479999,2
1305,1.4489999,2,0,1.4489999,1.4489999,2
1306,-1.055,2,0,-1.055,-1.055,2
1307,-4.986,2,0,-4.986,-4.986,2
1308,-2.1369998,2,0,-2.1369998,-2.1369998,2
1309,4.619,2,0,4.619,4.619,2
1310,2.72,2,0,2.72,2.72,2
1311,-1.4319999,2,0,-1.4319999,-1.4319999,2
1312,4.025,2,0,4.025,4.025,2
1313,4.641,2,0,4.641,4.641,2
1314,0.089,2,0,0.089,0.089,2
1315,-4.3580003,2,0,-4.3580003,-4.3580003,2
1316,-5.3350005,2,0,-5.3350005,-5.3350005,2
1317,-0.48900002,2,0,-0.48900002,-0.48900002,2
1318,-0.022,2,0,-0.022,-0.022,2
1319,1.9539999,2,0,1.9539999,1.9539999,2
1320,1.8429999,2,0,1.8429999,1.8429999,2
1321,2.7150002,2,0,2.7150002,2.7150002,2
1322,-2.809,2,0,-2.809,-2.809,2
1323,-3.203,2,0,-3.203,-3.203,2
1324,-1.2770001,2,0,-1.2770001,-1.2770001,2
1325,3.731,2,0,3.731,3.731,2
1326,2.987,2,0,2.987,2.987,2
1327,-1.2710001,2,0,-1.2710001,-1.2710001,2
1328,-1.91,2,0,-1.91,-1.91,2
1329,-2.565,2,0,-2.565,-2.565,2
1330,5.441,0,0,5.441,5.441,0
1331,4.3250003,0,0,4.3250003,4.3250003,0
1332,1.9649999,0,0,1.9649999,1.9649999,0
1333,-0.205,0,0,-0.205,-0.205,0
1334,0.605,0,0,0.605,0.605,0
1335,-5.591,0,0,-5.591,-5.591,0
1336,5.069,0,0,5.069,5.069,0
1337,4.464,0,0,4.464,4.464,0
1338,-1.8599999,0,0,-1.8599999,-1.8599999,0
1339,-2.049,0,0,-2.049,-2.049,0
1340,-0.983,0,0,-0.983,-0.983,0
1341,0.633,0,0,0.633,0.633,0
1342,-2.243,0,0,-2.243,-2.243,0
1343,-0.272,0,0,-0.272,-0.272,0
1344,0.81,0,0,0.81,0.81,0
1345,2.021,0,0,2.021,2.021,0
1346,1.066,0,0,1.066,1.066,0
1347,-1.621,0,0,-1.621,-1.621,0
1348,-1.5489999,0,0,-1.5489999,-1.5489999,0
1349,0.638,0,0,0.638,0.638,0
1350,-3.292,0,0,-3.292,-3.292,0
